Contig_name	Contig_length	GC%	N%	Gap%	Other%
VFAGAHAV	120353	     19.24	      0.00	      0.00	      0.00
VFAKOQUE	117375	     22.30	      0.00	      0.00	      0.00
VFASICLA	119193	     18.51	      0.00	      0.00	      0.00
VFBEB	99597	     26.15	      0.00	      0.00	      0.00
VFBLASP1	118589	     19.07	      0.00	      0.00	      0.00
VFBLASP2	118478	     19.62	      0.00	      0.00	      0.00
VFBRI	119393	     21.31	      0.00	      0.00	      0.00
VFBRUOCU	114038	     24.42	      0.00	      0.00	      0.00
VFBRUSP1	114060	     24.24	      0.00	      0.00	      0.00
VFCALBON1	117426	     25.09	      0.00	      0.00	      0.00
VFCALKRU	122629	     28.94	      0.00	      0.00	      0.00
VFCEDSP1	60050	     29.94	      0.00	      0.00	      0.00
VFCIXIUS	136554	     20.55	      0.00	      0.00	      0.00
VFCIXNER	136288	     22.25	      0.00	      0.00	      0.00
VFCIXPIL	136474	     23.67	      0.00	      0.00	      0.00
VFCOTACU	124185	     18.57	      0.00	      0.00	      0.00
VFDESRAP	123179	     25.65	      0.00	      0.00	      0.00
VFDICEUR	122141	     29.19	      0.00	      0.00	      0.00
VFDICMUL	122059	     29.85	      0.00	      0.00	      0.00
VFDICPAN5	122171	     29.48	      0.00	      0.00	      0.00
VFHYALUT	126824	     21.13	      0.00	      0.00	      0.00
VFIDISP1	119682	     18.65	      0.00	      0.00	      0.00
VFIND2	123027	     20.33	      0.00	      0.00	      0.00
VFISSCOL1	122974	     19.37	      0.00	      0.00	      0.00
VFISSKAZ	117550	     16.52	      0.00	      0.00	      0.00
VFKELRIB	104666	     33.99	      0.00	      0.00	      0.00
VFLACSP	125347	     18.61	      0.00	      0.00	      0.00
VFLIBAN	120299	     20.20	      0.00	      0.00	      0.00
VFLOPSAC	123178	     17.30	      0.00	      0.00	      0.00
VFLYNSP	127408	     20.25	      0.00	      0.00	      0.00
VFMALBOS	52460	     26.54	      0.00	      0.00	      0.00
VFMEEALB	104008	     16.61	      0.00	      0.00	      0.00
VFMEEMAD	74467	     22.73	      0.00	      0.00	      0.00
VFMEESKO	84795	     15.58	      0.00	      0.00	      0.00
VFMEETHA	97882	     16.88	      0.00	      0.00	      0.00
VFMELPLA	121779	     21.11	      0.00	      0.00	      0.00
VFMYCCUN	117033	     17.42	      0.00	      0.00	      0.00
VFOECSP1	115611	     19.14	      0.00	      0.00	      0.00
VFOLIH	136080	     18.17	      0.00	      0.00	      0.00
VFOMMDIS	115186	     18.26	      0.00	      0.00	      0.00
VFOMMLON	115190	     18.22	      0.00	      0.00	      0.00
VFOMOUHL	62937	     42.59	      0.00	      0.00	      0.00
VFORGSP	122869	     25.64	      0.00	      0.00	      0.00
VFPARIOC	125205	     18.20	      0.00	      0.00	      0.00
VFPARPLA	124995	     25.47	      0.00	      0.00	      0.00
VFPENROR	131967	     19.32	      0.00	      0.00	      0.00
VFPENVAR	126688	     20.26	      0.00	      0.00	      0.00
VFPINALT	113073	     20.48	      0.00	      0.00	      0.00
VFPITSP	123314	     17.17	      0.00	      0.00	      0.00
VFPROSP	73040	     14.41	      0.00	      0.00	      0.00
VFPYRCLA	125539	     23.80	      0.00	      0.00	      0.00
VFPYRLAN	125481	     23.71	      0.00	      0.00	      0.00
VFPYRVIR	125452	     23.65	      0.00	      0.00	      0.00
VFQUISP	114846	     16.20	      0.00	      0.00	      0.00
VFRANEDI	125935	     26.52	      0.00	      0.00	      0.00
VFRANSCY	125763	     26.31	      0.00	      0.00	      0.00
VFSACSP1	50141	     29.00	      0.00	      0.00	      0.00
VFSCODIS	119635	     19.10	      0.00	      0.00	      0.00
VFSTELAU	86948	     32.51	      0.00	      0.00	      0.00
VFSTEMIN 	97122	     32.66	      0.00	      0.00	      0.00
VFTETHEX	102861	     20.39	      0.00	      0.00	      0.00
VFTETIMP	102823	     19.43	      0.00	      0.00	      0.00
VFTETMAC	102821	     18.49	      0.00	      0.00	      0.00
VFTETSUL	102863	     18.90	      0.00	      0.00	      0.00
VFTRYOCC	108583	     17.08	      0.00	      0.00	      0.00
VFUGYLON	97592	     23.61	      0.00	      0.00	      0.00
VFUGYOPS	107001	     22.48	      0.00	      0.00	      0.00
VFVIZSP	100621	     21.82	      0.00	      0.00	      0.00
VFZOPTEN	118320	     17.90	      0.00	      0.00	      0.00
