Contig_name	Contig_length	GC%	N%	Gap%	Other%
SMAGAHAV	142878	     26.75	      0.00	      0.00	      0.00
SMAKOQUE	180379	     25.57	      0.00	      0.00	      0.00
SMASICLA	165221	     25.06	      0.00	      0.00	      0.00
SMBRISP1a	127500	     25.61	      0.00	      0.00	      0.00
SMBRISP1b	30818	     22.82	      0.00	      0.00	      0.00
SMBRUOCU	144501	     25.55	      0.00	      0.00	      0.00
SMBRUSP1	144501	     25.55	      0.00	      0.00	      0.00
SMCALBON1	144704	     25.08	      0.00	      0.00	      0.00
SMCALKRU	142117	     26.38	      0.00	      0.00	      0.00
SMCATAR1	161808	     26.08	      0.00	      0.00	      0.00
SMCENSP	144549	     25.26	      0.00	      0.00	      0.00
SMCONSP	147666	     26.15	      0.00	      0.00	      0.00
SMCOTACU	146344	     27.28	      0.00	      0.00	      0.00
SMDANMAN	142465	     25.33	      0.00	      0.00	      0.00
SMDESRAP	148257	     25.14	      0.00	      0.00	      0.00
SMDICEUR	142647	     26.54	      0.00	      0.00	      0.00
SMDICMUL	142701	     25.98	      0.00	      0.00	      0.00
SMDICPAN5	142648	     26.20	      0.00	      0.00	      0.00
SMDICTMADA	142646	     26.40	      0.00	      0.00	      0.00
SMHYALUT	159741	     24.71	      0.00	      0.00	      0.00
SMIDISP1	159440	     24.25	      0.00	      0.00	      0.00
SMIND2	137729	     25.56	      0.00	      0.00	      0.00
SMLACSP	146531	     25.88	      0.00	      0.00	      0.00
SMLIBAN	141949	     26.68	      0.00	      0.00	      0.00
SMLOPSAC	149197	     25.87	      0.00	      0.00	      0.00
SMLYNSP	153004	     24.35	      0.00	      0.00	      0.00
SMMEEALB	147683	     24.92	      0.00	      0.00	      0.00
SMMEETHA	148682	     24.87	      0.00	      0.00	      0.00
SMMELPLA	153835	     26.16	      0.00	      0.00	      0.00
SMMIASP	145541	     24.94	      0.00	      0.00	      0.00
SMMYCCUN	140888	     26.95	      0.00	      0.00	      0.00
SMOECSP1	146587	     28.51	      0.00	      0.00	      0.00
SMOLIH	156579	     24.93	      0.00	      0.00	      0.00
SMOMMDIS	145652	     24.86	      0.00	      0.00	      0.00
SMOMMLON	144250	     24.77	      0.00	      0.00	      0.00
SMORGSP	148203	     25.16	      0.00	      0.00	      0.00
SMORTSP	145114	     24.96	      0.00	      0.00	      0.00
SMPARIOC	144413	     25.93	      0.00	      0.00	      0.00
SMPARPLA	147650	     25.33	      0.00	      0.00	      0.00
SMPARSP3	156252	     26.08	      0.00	      0.00	      0.00
SMPENROR	158633	     25.64	      0.00	      0.00	      0.00
SMPENVAR	152970	     24.66	      0.00	      0.00	      0.00
SMPHYLLO	144165	     25.98	      0.00	      0.00	      0.00
SMPINALT	137978	     29.83	      0.00	      0.00	      0.00
SMPITSP	148137	     25.81	      0.00	      0.00	      0.00
SMPYRCLA	156700	     24.53	      0.00	      0.00	      0.00
SMPYRLAN	155888	     24.58	      0.00	      0.00	      0.00
SMPYRVIR	156326	     24.57	      0.00	      0.00	      0.00
SMQUISP	149421	     26.35	      0.00	      0.00	      0.00
SMRAIPAT	142899	     26.02	      0.00	      0.00	      0.00
SMRANEDI	146798	     25.20	      0.00	      0.00	      0.00
SMRANSCY	148347	     25.21	      0.00	      0.00	      0.00
SMRHABRU	142272	     24.48	      0.00	      0.00	      0.00
SMS1196	144731	     24.91	      0.00	      0.00	      0.00
SMSCODIS	140757	     26.88	      0.00	      0.00	      0.00
SMSCOSUL	142599	     25.95	      0.00	      0.00	      0.00
SMSYMSP	144736	     24.64	      0.00	      0.00	      0.00
SMTETHEX	147784	     25.93	      0.00	      0.00	      0.00
SMTETIMP	147097	     25.90	      0.00	      0.00	      0.00
SMTETMAC	146785	     26.05	      0.00	      0.00	      0.00
SMTETSUL	147554	     25.99	      0.00	      0.00	      0.00
SMTRYOCC1a	117708	     23.96	      0.00	      0.00	      0.00
SMTRYOCC1b	36330	     23.94	      0.00	      0.00	      0.00
SMVIZSP	157574	     26.18	      0.00	      0.00	      0.00
SMZOPTEN	141188	     27.19	      0.00	      0.00	      0.00
